image_id,qr_index,x0,y0,x1,y1,x2,y2,x3,y3,content
2656508531_jpg.rf.e3471da597bbb5c678c7b81a9444a45a,0,76.04,80.18,161.54,79.99,161.69,149.65,76.19,149.84,http://www.sneakyparties.com.au
2879826877_jpg.rf.e5a0a919ca06cd38041277acc8078c7c,0,314.96,422.74,394.84,417.32,402.01,523.06,322.12,528.47,HTTP://TMORE.MOBI/ALBERTO
2879826877_jpg.rf.e5a0a919ca06cd38041277acc8078c7c,1,205.92,303.09,284.1,299.5,288.83,402.36,210.65,405.95,I love QR Code
2879826877_jpg.rf.e5a0a919ca06cd38041277acc8078c7c,2,104.5,309.9,182.85,310.21,182.45,409.1,104.1,408.79,HTTP://TMORE.MOBI/ALBERTO
IMG_20220601_162857_jpg.rf.e37733db42ffb9cfe2084c2b7e0e0859,0,227.14,344.76,252.72,346.2,251.65,365.24,226.07,363.81,
IMG_20220601_162857_jpg.rf.e37733db42ffb9cfe2084c2b7e0e0859,1,324.71,253.32,340.8,254.22,339.93,269.86,323.84,268.97,
1932429740_jpg.rf.e6a7bf47534a5bac958e9fa0bfbac030,0,314.74,208.9,356.42,218.56,342.9,276.86,301.22,267.19,
glareimage012_jpg.rf.ef40b6d1d694679efbbdd5dbdc2050b4,0,270.62,361.56,355.58,362.51,354.74,436.93,269.79,435.97,
4_jpg.rf.ea7bb9bcb849a248b176040568902d1c,0,89.82,49.04,579.97,48.23,580.68,478.83,90.52,479.63,http://www.lubes.id/197/U7PEuBaeC
2963262766_jpg.rf.e8429960e4f10a86b74c7976796d3a69,0,373.94,397.77,388.96,396.18,391.43,419.45,376.41,421.05,
2566618981_jpg.rf.eaa911b50263633865aeceec80f1186a,0,318.82,347.5,451.26,353.34,446.63,458.1,314.2,452.26,http://qyouare.com/about
2686038510_jpg.rf.e1a2b8871ca7abaf5b98783b8f691fa6,0,373.68,432.19,451.03,430.62,452.18,487.44,374.82,489.01,https://wap.ladbrokes.com
