epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0062,1.14308,1.7454,2.10351,0.16421,0.83818,0.86911,0.89881,0.66689,0.90942,0.96082,1.58079,0.09718,0.000661538,0.000661538,0.000661538
2,74.1952,0.94085,0.863,1.64277,0.16257,0.94939,0.88814,0.95094,0.76628,0.75362,0.66816,1.44426,0.08803,0.00131506,0.00131506,0.00131506
3,109.947,0.86399,0.74515,1.51724,0.15207,0.95394,0.87472,0.95318,0.76632,0.77881,0.74835,1.41904,0.05783,0.00195537,0.00195537,0.00195537
4,146.217,0.83604,0.69569,1.48147,0.14428,0.92424,0.87696,0.9474,0.75787,0.75814,0.89131,1.42733,0.07349,0.0019406,0.0019406,0.0019406
5,182.66,0.75651,0.65078,1.39415,0.12476,0.91284,0.89038,0.93805,0.75507,0.74867,0.62705,1.35358,0.08062,0.0019208,0.0019208,0.0019208
6,219.141,0.71501,0.57993,1.33156,0.11019,0.93311,0.90499,0.95579,0.80422,0.6814,0.54559,1.3296,0.0576,0.001901,0.001901,0.001901
7,255.638,0.66606,0.51849,1.27725,0.10725,0.96029,0.9217,0.97257,0.8176,0.71685,0.55373,1.34404,0.08035,0.0018812,0.0018812,0.0018812
8,292.067,0.6304,0.47983,1.24507,0.10173,0.96389,0.9217,0.96893,0.83965,0.59591,0.468,1.24656,0.04843,0.0018614,0.0018614,0.0018614
9,328.301,0.59742,0.44452,1.20568,0.08566,0.97116,0.90413,0.96732,0.84252,0.59576,0.47445,1.23671,0.05164,0.0018416,0.0018416,0.0018416
10,364.374,0.5638,0.43465,1.17508,0.07592,0.94214,0.91064,0.96068,0.83284,0.62845,0.54777,1.24435,0.05253,0.0018218,0.0018218,0.0018218
11,400.181,0.53386,0.40447,1.13482,0.07094,0.97115,0.90157,0.96557,0.85343,0.59298,0.50958,1.24504,0.04293,0.001802,0.001802,0.001802
12,435.986,0.52652,0.38165,1.11491,0.06896,0.96489,0.92224,0.9691,0.83409,0.59422,0.4522,1.25202,0.04315,0.0017822,0.0017822,0.0017822
13,471.959,0.49193,0.36672,1.08288,0.06147,0.97405,0.92355,0.96266,0.83891,0.57762,0.45865,1.24092,0.05483,0.0017624,0.0017624,0.0017624
14,507.857,0.47407,0.34615,1.06518,0.05547,0.9601,0.92394,0.96523,0.83788,0.57494,0.47836,1.25396,0.03297,0.0017426,0.0017426,0.0017426
15,544.206,0.45775,0.3345,1.03973,0.05413,0.95719,0.92617,0.96188,0.84257,0.59105,0.47534,1.24641,0.04803,0.0017228,0.0017228,0.0017228
16,579.93,0.44894,0.32932,1.02998,0.05193,0.96715,0.92217,0.97197,0.8549,0.57007,0.43542,1.22354,0.03852,0.001703,0.001703,0.001703
17,615.347,0.42695,0.3079,1.00406,0.04327,0.96022,0.94631,0.96914,0.85818,0.57005,0.44477,1.23612,0.04387,0.0016832,0.0016832,0.0016832
18,650.89,0.41595,0.30412,0.99383,0.04088,0.95878,0.93666,0.96548,0.85314,0.5536,0.43055,1.24436,0.03262,0.0016634,0.0016634,0.0016634
19,686.247,0.39832,0.29652,0.97707,0.03972,0.96956,0.92631,0.96921,0.85872,0.54484,0.41971,1.20857,0.04309,0.0016436,0.0016436,0.0016436
20,721.658,0.38569,0.2868,0.96657,0.0318,0.98345,0.9217,0.97631,0.86159,0.53869,0.40703,1.2431,0.04169,0.0016238,0.0016238,0.0016238
21,757.549,0.36978,0.27444,0.95005,0.02812,0.95115,0.91275,0.95983,0.85758,0.5393,0.45142,1.2402,0.04207,0.001604,0.001604,0.001604
22,793.605,0.36237,0.26764,0.94034,0.02779,0.97104,0.92617,0.97256,0.86415,0.53846,0.41405,1.21302,0.043,0.0015842,0.0015842,0.0015842
23,829.568,0.35366,0.26067,0.93249,0.02783,0.98838,0.89933,0.96769,0.86107,0.52563,0.42235,1.22339,0.03713,0.0015644,0.0015644,0.0015644
24,865.858,0.34059,0.25332,0.91654,0.02804,0.98559,0.91785,0.96894,0.85893,0.54619,0.43137,1.27496,0.03895,0.0015446,0.0015446,0.0015446
25,902.069,0.32559,0.24481,0.90955,0.02231,0.96231,0.93736,0.96766,0.86611,0.54489,0.41866,1.25835,0.03807,0.0015248,0.0015248,0.0015248
26,937.617,0.32535,0.24841,0.90884,0.02411,0.96938,0.92057,0.96784,0.87617,0.52181,0.42095,1.22373,0.04547,0.001505,0.001505,0.001505
27,972.626,0.31027,0.23631,0.89862,0.02046,0.98625,0.91946,0.96986,0.86998,0.50983,0.39545,1.20163,0.0388,0.0014852,0.0014852,0.0014852
28,1008,0.30294,0.23357,0.89324,0.02021,0.98376,0.91723,0.96459,0.86206,0.52004,0.43941,1.19806,0.04799,0.0014654,0.0014654,0.0014654
29,1043.22,0.29731,0.22757,0.88729,0.01733,0.97185,0.93065,0.95986,0.86961,0.51807,0.42431,1.23683,0.04476,0.0014456,0.0014456,0.0014456
30,1078.1,0.28896,0.22306,0.88095,0.01853,0.97256,0.93512,0.97034,0.87701,0.50245,0.38433,1.22681,0.03731,0.0014258,0.0014258,0.0014258
31,1112.98,0.27833,0.21693,0.87254,0.01555,0.96873,0.93289,0.96641,0.86114,0.51794,0.41381,1.2582,0.0394,0.001406,0.001406,0.001406
32,1148.2,0.27456,0.21831,0.86964,0.01516,0.97892,0.93489,0.96714,0.87304,0.5118,0.37012,1.24753,0.04277,0.0013862,0.0013862,0.0013862
